id,doi,title,publication_year,abstract
https://openalex.org/W2962739339,https://doi.org/10.18653/v1/n18-1202,Deep Contextualized Word Representations,2018,"We introduce a new type of deep contextualized word representation that models both (1) complex characteristics use (e.g., syntax and semantics), (2) how these uses vary across linguistic contexts (i.e., to model polysemy). Our vectors are learned functions the internal states bidirectional language (biLM), which is pre-trained on large text corpus. show representations can be easily added existing significantly improve state art six challenging NLP problems, including question answering, textual entailment sentiment analysis. also present an analysis showing exposing internals network crucial, allowing downstream mix different types semi-supervision signals."
https://openalex.org/W2965373594,https://doi.org/10.48550/arxiv.1907.11692,RoBERTa: A Robustly Optimized BERT Pretraining Approach,2019,"Language model pretraining has led to significant performance gains but careful comparison between different approaches is challenging. Training computationally expensive, often done on private datasets of sizes, and, as we will show, hyperparameter choices have impact the final results. We present a replication study BERT (Devlin et al., 2019) that carefully measures many key hyperparameters and training data size. find was significantly undertrained, can match or exceed every published after it. Our best achieves state-of-the-art results GLUE, RACE SQuAD. These highlight importance previously overlooked design choices, raise questions about source recently reported improvements. release our models code."
https://openalex.org/W2493916176,https://doi.org/10.1162/tacl_a_00051,Enriching Word Vectors with Subword Information,2017,"Continuous word representations, trained on large unlabeled corpora are useful for many natural language processing tasks. Popular models that learn such representations ignore the morphology of words, by assigning a distinct vector to each word. This is limitation, especially languages with vocabularies and rare words. In this paper, we propose new approach based skipgram model, where represented as bag character n-grams. A representation associated n-gram; words being sum these representations. Our method fast, allowing train quickly allows us compute did not appear in training data. We evaluate our nine different languages, both similarity analogy By comparing recently proposed morphological show vectors achieve state-of-the-art performance"
https://openalex.org/W1902237438,https://doi.org/10.18653/v1/d15-1166,Effective Approaches to Attention-based Neural Machine Translation,2015,"An attentional mechanism has lately been used to improve neural machine translation (NMT) by selectively focusing on parts of the source sentence during translation. However, there little work exploring useful architectures for attention-based NMT. This paper examines two simple and effective classes mechanism: a global approach which always attends all words local one that only looks at subset time. We demonstrate effectiveness both approaches WMT tasks between English German in directions. With attention, we achieve significant gain 5.0 BLEU points over non-attentional systems already incorporate known techniques such as dropout. Our ensemble model using different attention yields new state-of-the-art result WMT’15 task with 25.9 points, an improvement 1.0 existing best system backed NMT n-gram reranker. 1"
https://openalex.org/W2962784628,https://doi.org/10.18653/v1/p16-1162,Neural Machine Translation of Rare Words with Subword Units,2016,"Neural machine translation (NMT) models typically operate with a fixed vocabulary, but is an open-vocabulary problem. Previous work addresses the of out-of-vocabulary words by backing off to dictionary. In this paper, we introduce simpler and more effective approach, making NMT model capable encoding rare unknown as sequences subword units. This based on intuition that various word classes are translatable via smaller units than words, for instance names (via character copying or transliteration), compounds compositional translation), cognates loanwords phonological morphological transformations). We discuss suitability different segmentation techniques, including simple ngram byte pair compression algorithm, empirically show improve over back-off dictionary baseline WMT 15 tasks English!German English!Russian up 1.1 1.3 BLEU, respectively."
https://openalex.org/W1895577753,https://doi.org/10.1109/cvpr.2015.7298935,Show and tell: A neural image caption generator,2015,"Automatically describing the content of an image is a fundamental problem in artificial intelligence that connects computer vision and natural language processing. In this paper, we present generative model based on deep recurrent architecture combines recent advances machine translation can be used to generate sentences image. The trained maximize likelihood target description sentence given training Experiments several datasets show accuracy fluency it learns solely from descriptions. Our often quite accurate, which verify both qualitatively quantitatively. For instance, while current state-of-the-art BLEU-1 score (the higher better) Pascal dataset 25, our approach yields 59, compared human performance around 69. We also improvements Flickr30k, 56 66, SBU, 19 28. Lastly, newly released COCO dataset, achieve BLEU-4 27.7, state-of-the-art."
https://openalex.org/W2963748441,https://doi.org/10.18653/v1/d16-1264,"SQuAD: 100,000+ Questions for Machine Comprehension of Text",2016,"We present the Stanford Question Answering Dataset (SQuAD), a new reading comprehension dataset consisting of 100,000+ questions posed by crowdworkers on set Wikipedia articles, where answer to each question is segment text from corresponding passage. analyze understand types reasoning required questions, leaning heavily dependency and constituency trees. build strong logistic regression model, which achieves an F1 score 51.0%, significant improvement over simple baseline (20%). However, human performance (86.8%) much higher, indicating that presents good challenge problem for future research. The freely available at https://stanford-qa.com"
https://openalex.org/W1905882502,https://doi.org/10.1109/cvpr.2015.7298932,Deep visual-semantic alignments for generating image descriptions,2015,"We present a model that generates natural language descriptions of images and their regions. Our approach leverages datasets sentence to learn about the inter-modal correspondences between visual data. alignment is based on novel combination Convolutional Neural Networks over image regions, bidirectional Recurrent sentences, structured objective aligns two modalities through multimodal embedding. then describe Multimodal Network architecture uses inferred alignments generate demonstrate our produces state art results in retrieval experiments Flickr8K, Flickr30K MSCOCO datasets. show generated significantly outperform baselines both full new dataset region-level annotations."
https://openalex.org/W2470673105,https://doi.org/10.18653/v1/n16-1174,Hierarchical Attention Networks for Document Classification,2016,"We propose a hierarchical attention network for document classification. Our model has two distinctive characteristics: (i) it structure that mirrors the of documents; (ii) levels mechanisms applied at wordand sentence-level, enabling to attend differentially more and less important content when constructing representation. Experiments conducted on six large scale text classification tasks demonstrate proposed architecture outperform previous methods by substantial margin. Visualization layers illustrates selects qualitatively informative words sentences."
https://openalex.org/W2296283641,https://doi.org/10.18653/v1/n16-1030,Neural Architectures for Named Entity Recognition,2016,"Comunicacio presentada a la 2016 Conference of the North American Chapter Association for Computational Linguistics, celebrada San Diego (CA, EUA) els dies 12 17 de juny 2016."
https://openalex.org/W2277195237,https://doi.org/10.1007/s11263-016-0981-7,Visual Genome: Connecting Language and Vision Using Crowdsourced Dense Image Annotations,2017,"Despite progress in perceptual tasks such as image classification, computers still perform poorly on cognitive description and question answering. Cognition is core to that involve not just recognizing, but reasoning about our visual world. However, models used tackle the rich content images for are being trained using same datasets designed tasks. To achieve success at tasks, need understand interactions relationships between objects an image. When asked What vehicle person riding?, will identify well riding(man, carriage) pulling(horse, answer correctly riding a horse-drawn carriage. In this paper, we present Visual Genome dataset enable modeling of relationships. We collect dense annotations objects, attributes, within each learn these models. Specifically, contains over 108K where has average $$35$$35 $$26$$26 $$21$$21 pairwise objects. canonicalize relationships, noun phrases region descriptions questions pairs WordNet synsets. Together, represent densest largest descriptions, pairs."
https://openalex.org/W2745461083,https://doi.org/10.1109/cvpr.2018.00636,Bottom-Up and Top-Down Attention for Image Captioning and Visual Question Answering,2018,"Top-down visual attention mechanisms have been used extensively in image captioning and question answering (VQA) to enable deeper understanding through fine-grained analysis even multiple steps of reasoning. In this work, we propose a combined bottom-up top-down mechanism that enables be calculated at the level objects other salient regions. This is natural basis for considered. Within our approach, (based on Faster R-CNN) proposes regions, each with an associated feature vector, while determines weightings. Applying approach captioning, results MSCOCO test server establish new state-of-the-art task, achieving CIDEr / SPICE BLEU-4 scores 117.9, 21.5 36.9, respectively. Demonstrating broad applicability method, applying same VQA obtain first place 2017 Challenge."
